KEY;W.37.1;W.37.2.1;W.37.2.2;W.37.2.3;W.37.2.4;W.37.2.5;W.37.2.6.1;W.37.2.6.2;W.37.2.6.3;W.37.2.6.4;W.37.2.7;W.37.2.8;W.37.2.9;W.37.2.10;W.37.2.11;W.37.3.1;W.37.3.2;W.37.3.3;W.37.3.4;W.37.3.5;W.37.3.6.1;W.37.3.6.2;W.37.3.6.3;W.37.3.6.4;W.37.3.7;W.37.4.1;W.37.4.2;W.37.4.3;W.37.4.4;W.37.4.5;W.37.4.6.1;W.37.4.6.2;W.37.4.6.3;W.37.4.6.4;W.37.4.7;W.37.4.8.1;W.37.4.8.2;W.37.4.8.3;W.37.4.8.4;W.37.4.8.5;W.37.4.8.6;W.37.4.8.7;W.37.4.9.1;W.37.4.9.2;W.37.4.9.3;W.37.4.10.1;W.37.4.10.2.1;W.37.4.10.2.2;W.37.4.10.2.3;W.37.4.10.2.4;W.37.4.10.3.1;W.37.4.10.3.2;W.37.4.10.3.3;W.37.5.1;W.37.5.2;W.37.5.3;W.37.5.4;W.37.5.5;W.37.6.1;W.37.6.2.1;W.37.6.2.2;W.37.6.2.3;W.37.6.2.4;W.37.6.2.5;W.37.6.2.6;W.37.6.2.7.1;W.37.6.2.7.2;W.37.6.2.7.3;W.37.6.2.7.4;W.37.6.2.7.5;W.37.6.2.7.6;W.37.6.2.7.7;W.37.6.2.7.8;W.37.6.2.7.9
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0507; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0508; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M21;M21T01;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M21T02;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M21T03;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M22;M22T01;16;43;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M22T02;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M22T03;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M23;M23T03;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M23T04;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M23T01;16;41;08.07.2023; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M23T02;16;41;08.07.2023; ;4;M23T02V1; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M24;M24T03;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M25;M25T06;16;43;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M25T08;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M25T07;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M25T05;16;41;15.12.2021; ;4;M25T05V1; ; ; ;4; ;3;7;3
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M25T02;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M27;M27T01;16;41;15.12.2021; ;4;M27T01V2; ; ; ;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M27T04;16;41;15.12.2021; ;4;M27T04V3; ; ; ;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M27T02;16;41;15.12.2021; ;4;M27T02V3; ; ; ;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M27T03;16;41;15.12.2021; ;4;M27T03V3; ; ; ;4; ; ; ; 
5838;470; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;R10;R10C02;58; ;27.07.2019; ;4; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-0: NUMBER OF DATA MASK SC-ELEMENTS OF THE WANTED HSC;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-1: NUMBER OF FOUND DATA ELEMENTS IN THE GIVEN DESCRIPTOR RANGE;;;;1366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
